,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
87,penarroya-pueblonuevo,25,ES,1608068991,100,38.3,-5.27,282.04,0.5
88,sao joao de pirabas,99,BR,1608068991,81,-0.77,-47.18,299.45,2.94
89,rantoul,1,US,1608068753,68,40.31,-88.16,272.15,6.7
90,bontang,94,ID,1608068991,90,0.13,117.5,297.65,3.05
91,qaanaaq,0,GL,1608068992,66,77.48,-69.36,254.88,2.98
92,aklavik,90,CA,1608068992,75,68.22,-135.01,244.15,1.5
93,rochester,40,US,1608068879,62,43.15,-77.62,270.37,3.6
94,margate,17,GB,1608068992,83,51.38,1.39,282.59,1.34
95,teahupoo,20,PF,1608068992,62,-17.83,-149.27,304.15,9.3
96,ancud,90,CL,1608068992,62,-41.87,-73.82,287.59,2.6
97,barrow,1,US,1608068702,76,71.29,-156.79,252.15,7.7
98,mirabad,0,AF,1608068992,59,30.44,61.84,276.27,1.51
99,belmonte,40,BR,1608068992,78,-15.86,-38.88,298.15,5.7
100,gobabis,53,NA,1608068992,30,-22.45,18.97,300.15,3.1
101,arraial do cabo,0,BR,1608068992,78,-22.97,-42.03,300.15,6.7
102,tiksi,11,RU,1608068992,85,71.69,128.87,241.83,1.68
103,vulcan,0,RO,1608068992,92,45.38,23.27,273.44,1.33
104,el dorado,90,US,1608068992,70,38.77,-120.52,282.59,3.6
105,vila,100,PT,1608068992,91,42.03,-8.16,282.59,4.47
106,olafsvik,59,IS,1608068992,83,64.89,-23.71,276.45,15.17
107,atuona,22,PF,1608068993,75,-9.8,-139.03,299.3,8.68
108,severo-kurilsk,93,RU,1608068993,94,50.68,156.12,272.97,9.03
109,mecca,37,SA,1608068993,78,21.43,39.83,296.63,0.65
110,malanje,19,AO,1608068993,79,-9.54,16.34,289.36,1.39
111,hithadhoo,72,MV,1608068993,70,-0.6,73.08,300.59,4.47
112,vila franca do campo,20,PT,1608068993,72,37.72,-25.43,289.15,4.1
113,hobart,75,AU,1608068711,50,-42.88,147.33,287.04,6.2
114,katsuura,75,JP,1608068993,48,35.13,140.3,280.15,5.1
115,gombe,3,NG,1608068993,20,10.29,11.17,297.03,4.49
116,atar,0,MR,1608068993,25,20.52,-13.05,293.29,3.49
117,cayenne,20,GF,1608068993,78,4.93,-52.33,301.15,3.6
118,ullerslev,100,DK,1608068993,97,55.36,10.65,280.93,1.79
119,dakar,0,SN,1608068904,83,14.69,-17.44,295.15,3.1
120,kuching,40,MY,1608068993,100,1.55,110.33,296.15,1.43
121,havelock,90,US,1608068993,65,34.88,-76.9,281.15,7.2
122,gacko,0,BA,1608068994,73,43.17,18.54,275.15,2.1
